id,age,timestamp,trick_or_treat,n_mints,dress,font
ID0001,35,2015-10-23T08:46:20Z,No,2,White and gold,fuck you
ID0002,41,2015-10-23T08:46:52Z,No,10,Blue and black,arial
ID0003,33,2015-10-23T08:47:34Z,No,4,Blue and black,Proggy Clean
ID0004,31,2015-10-23T08:47:59Z,No,5,White and gold,georgia
ID0005,30,2015-10-23T08:48:12Z,No,0,White and gold,verdana
ID0006,38,2015-10-23T08:49:07Z,No,2,Blue and black,Calibri
ID0007,48,2015-10-23T08:50:09Z,No,0,Blue and black,century gothic
ID0008,39,2015-10-23T08:52:14Z,No,12,Blue and black,winddings
ID0010,54,2015-10-23T08:53:31Z,No,7,Blue and black,Comic sans
ID0011,40,2015-10-23T08:54:15Z,No,4,White and gold,Calibri
ID0012,38,2015-10-23T08:54:16Z,No,10,Blue and black,Amazon's New Font
ID0013,33,2015-10-23T08:54:56Z,No,5,White and gold,courier new
ID0014,36,2015-10-23T08:55:01Z,No,0,Blue and black,Times new roman
ID0015,47,2015-10-23T08:55:07Z,No,4,White and gold,Nebuchadnezzar
ID0016,60,2015-10-23T08:56:21Z,Yes,16,White and gold,creaky frank
ID0017,34,2015-10-23T08:56:26Z,No,42,Blue and black,ariel
ID0018,44,2015-10-23T08:57:22Z,Yes,No,White and gold,Optima
ID0019,46,2015-10-23T08:57:58Z,No,6,White and gold,NA
ID0020,34,2015-10-23T08:58:14Z,No,3,NA,Huxley Titling
ID0021,46,2015-10-23T08:58:42Z,No,6,White and gold,NA
ID0022,47,2015-10-23T08:59:20Z,No,6,Blue and black,Starfleet Bold Extended
ID0023,52,2015-10-23T08:59:39Z,No,NA,NA,NA
ID0024,38,2015-10-23T09:00:13Z,No,8,White and gold,monaco
ID0025,33,2015-10-23T09:00:23Z,No,3,White and gold,Arial
ID0026,44,2015-10-23T09:00:42Z,No,12,White and gold,garamond
ID0027,37,2015-10-23T09:00:55Z,No,3,White and gold,Trade Gothic
ID0028,33,2015-10-23T09:01:36Z,No,3.14,White and gold,I use comic sans and papyrus at work just to piss off my co-workers
ID0029,57,2015-10-23T09:01:48Z,No,7,White and gold,Verdana
ID0030,32,2015-10-23T09:01:52Z,No,8,Blue and black,helvetica
ID0031,45,2015-10-23T09:02:18Z,No,6,White and gold,courier new
ID0032,38,2015-10-23T09:02:29Z,No,4,Blue and black,Helvetica
ID0033,58,2015-10-23T09:02:31Z,Yes,5,Blue and black,any
ID0034,43,2015-10-23T09:03:51Z,No,4,White and gold,Hack
ID0035,45,2015-10-23T09:04:38Z,Yes,4,Blue and black,NA
ID0036,60,2015-10-23T09:05:04Z,No,NA,Blue and black,ventana
ID0038,49,2015-10-23T09:05:32Z,No,2,White and gold,Caslon Antique
ID0039,34,2015-10-23T09:05:43Z,No,NA,White and gold,NA
ID0041,36,2015-10-23T09:07:14Z,No,12,Blue and black,Garamond
ID0042,47,2015-10-23T09:07:30Z,No,13,Blue and black,The Trevi is nice
ID0043,52,2015-10-23T09:07:45Z,No,9,Blue and black,Ransom Note
ID0044,30,2015-10-23T09:08:07Z,No,2,Blue and black,Kingthings Trypewriter
ID0045,54,2015-10-23T09:08:25Z,No,3,White and gold,Times Roman
ID0046,64,2015-10-23T09:09:13Z,No,7,White and gold,Helvetica
ID0047,26,2015-10-23T09:09:18Z,No,3,Blue and black,Comic Sans
ID0048,64,2015-10-23T09:09:33Z,No,7,White and gold,Helvetica
ID0049,46,2015-10-23T09:10:49Z,Yes,6,Blue and black,Times New Roman
ID0050,53,2015-10-23T09:10:55Z,No,0,White and gold,Proxy 6
ID0052,32,2015-10-23T09:12:44Z,No,5,White and gold,Product Sans
ID0053,57,2015-10-23T09:13:25Z,No,5,White and gold,Comic Sans
ID0054,27,2015-10-23T09:13:29Z,No,11,White and gold,myriad
ID0056,54,2015-10-23T09:14:03Z,No,3,Blue and black,comic
ID0057,31,2015-10-23T09:14:29Z,No,23,White and gold,Gill Sans MT
ID0059,50,2015-10-23T09:15:32Z,No,12,White and gold,Gothis
ID0060,42,2015-10-23T09:16:26Z,No,7,White and gold,Ariel
ID0061,32,2015-10-23T09:17:31Z,No,6,White and gold,Tahoma
ID0063,30,2015-10-23T09:18:09Z,No,6,Blue and black,helvetica
ID0064,28,2015-10-23T09:18:38Z,No,15,White and gold,NA
ID0066,44,2015-10-23T09:18:45Z,Yes,4,Blue and black,bitstream vera
ID0067,54,2015-10-23T09:19:34Z,Yes,8,Blue and black,Century Old Schoolbook
ID0068,38,2015-10-23T09:19:35Z,Yes,5,Blue and black,Calibri
ID0069,38,2015-10-23T09:21:11Z,No,2 1/2,Blue and black,Input Mono
ID0070,37,2015-10-23T09:21:31Z,No,3,White and gold,Calibri
ID0071,35,2015-10-23T09:22:00Z,No,six.,Blue and black,Lucida console.
ID0072,43,2015-10-23T09:22:22Z,No,NA,NA,NA
ID0073,33,2015-10-23T09:22:36Z,No,7,White and gold,Helvetica
ID0074,13,2015-10-23T09:22:47Z,Yes,200,Blue and black,Idk
ID0075,51,2015-10-23T09:22:50Z,Yes,42,Blue and black,Verdana
ID0076,33,2015-10-23T09:22:51Z,No,4,White and gold,Courier New
ID0077,70,2015-10-23T09:22:53Z,No,435,Blue and black,Bookman
ID0078,46,2015-10-23T09:23:23Z,No,8,Blue and black,Palantino
ID0079,51,2015-10-23T09:23:34Z,No,3,White and gold,Helvetica
ID0080,44,2015-10-23T09:23:35Z,No,15,Blue and black,Palatino
ID0081,41,2015-10-23T09:24:37Z,No,5,Blue and black,NA
ID0082,47,2015-10-23T09:25:25Z,No,3,White and gold,Garamond
ID0083,46,2015-10-23T09:26:01Z,No,3,Blue and black,any
ID0086,43,2015-10-23T09:28:25Z,No,2,White and gold,Times
ID0087,43,2015-10-23T09:29:02Z,No,8,Blue and black,Arial
ID0088,36,2015-10-23T09:29:03Z,No,6,White and gold,Times New Roman
ID0089,70,2015-10-23T09:29:40Z,No,3,White and gold,Georgia
ID0090,19,2015-10-23T09:30:11Z,No,7,White and gold,Helvetica
ID0091,32,2015-10-23T09:30:20Z,No,5,Blue and black,NA
ID0092,35,2015-10-23T09:30:28Z,No,7,Blue and black,wingdings
ID0093,27,2015-10-23T09:31:10Z,No,11,Blue and black,NA
ID0094,43,2015-10-23T09:32:13Z,Yes,4,Blue and black,Century Gothic
ID0095,45,2015-10-23T09:32:53Z,No,5,NA,papyrus
ID0096,25,2015-10-23T09:32:55Z,No,17,Blue and black,Comic Sans
ID0097,33,2015-10-23T09:33:24Z,No,4,White and gold,NA
ID0098,36,2015-10-23T09:33:38Z,No,23,Blue and black,Calibri
ID0099,32,2015-10-23T09:34:09Z,No,32,Blue and black,Times New Roman
ID0100,51,2015-10-23T09:34:22Z,No,24,White and gold,German Bold Italic
ID0101,36,2015-10-23T09:34:26Z,No,7!,White and gold,"Comic sans, bitches! But no, really, gimme some old school IM Fell"
ID0102,26,2015-10-23T09:34:34Z,No,23,Blue and black,Gotham
ID0103,59,2015-10-23T09:38:25Z,No,5,White and gold,TNR 12
ID0104,32,2015-10-23T09:38:27Z,No,24,Blue and black,"Jokerman (also, you spelled favorite wrong)"
ID0105,39,2015-10-23T09:38:58Z,Yes,5,White and gold,OCR
ID0106,61,2015-10-23T09:39:11Z,No,"Hopefully, none. 0",White and gold,"comic sans, just 'cause."
ID0107,31,2015-10-23T09:40:32Z,No,3,White and gold,Expressway
ID0108,42,2015-10-23T09:42:17Z,No,4,Blue and black,NA
ID0109,33,2015-10-23T09:42:24Z,No,3,White and gold,futura medium condensed
ID0110,42,2015-10-23T09:43:03Z,No,5,Blue and black,NA
ID0111,52,2015-10-23T09:43:03Z,No,6,Blue and black,Inconsolata
ID0112,33,2015-10-23T09:54:40Z,Yes,3,Blue and black,NA
ID0113,38,2015-10-23T09:44:58Z,Yes,0,Blue and black,nolo
ID0114,46,2015-10-23T09:45:41Z,No,Three,Blue and black,Vanilla Whale
ID0115,31,2015-10-23T09:46:04Z,No,seven,White and gold,Futura
ID0116,34,2015-10-23T09:46:10Z,No,7,Blue and black,Wingdings
ID0117,37,2015-10-23T09:46:23Z,No,90324,White and gold,comic sans
ID0118,23,2015-10-23T09:46:59Z,No,42,Blue and black,Courier New
ID0119,46,2015-10-23T09:47:47Z,No,"1, 674,432,001",Blue and black,"Do you mean typeface? If so, probably currently Georgia. If not, .... Georgia Italic 14 pt."
ID0120,42,2015-10-23T09:47:51Z,No,8,Blue and black,century gothic
ID0121,40,2015-10-23T09:48:21Z,No,7,White and gold,Optima
ID0123,40,2015-10-23T09:49:47Z,No,5,White and gold,Times New Roman
ID0124,33,2015-10-23T09:49:58Z,No,4,Blue and black,NA
ID0125,37,2015-10-23T09:50:17Z,No,NA,Blue and black,times new roman
ID0126,35,2015-10-23T09:52:31Z,No,21,Blue and black,acrylic
ID0127,33,2015-10-23T09:52:32Z,No,5,Blue and black,Helvetica
ID0128,35,2015-10-23T09:53:20Z,No,5,Blue and black,courier
ID0129,39,2015-10-23T09:53:48Z,No,7,White and gold,Trebuchet
ID0130,32,2015-10-23T09:54:48Z,No,14,White and gold,NA
ID0131,27,2015-10-23T09:55:31Z,No,NA,White and gold,NA
ID0133,41,2015-10-23T09:57:47Z,Yes,1.00E+06,White and gold,stencil bold
ID0134,55,2015-10-23T09:58:37Z,No,12,Blue and black,calibri
ID0135,32,2015-10-23T09:58:49Z,No,7,Blue and black,Helvetica
ID0136,37,2015-10-23T09:59:55Z,No,6,Blue and black,calibri
ID0137,13,2015-10-23T09:59:57Z,Yes,NA,NA,NA
ID0138,36,2015-10-23T10:00:08Z,No,3,Blue and black,calibri
ID0139,39,2015-10-23T10:00:31Z,No,?,NA,NA
ID0140,38,2015-10-23T10:00:42Z,No,7,White and gold,Caslon
ID0141,47,2015-10-23T10:02:07Z,No,10,Blue and black,Arial
ID0142,46,2015-10-23T10:01:24Z,Yes,11,Blue and black,Halvetica
ID0143,33,2015-10-23T10:02:06Z,No,5,Blue and black,NA
ID0144,45,2015-10-23T10:02:24Z,No,15,Blue and black,Dessau Pro
ID0145,31,2015-10-23T10:02:40Z,No,3,White and gold,None
ID0146,44,2015-10-23T10:02:47Z,No,NA,White and gold,Impact
ID0147,40,2015-10-23T10:03:45Z,No,5,Blue and black,MICR
ID0148,33,2015-10-23T10:04:44Z,No,19,Blue and black,Univers
ID0149,45,2015-10-23T10:05:01Z,No,5,White and gold,Tahoma
ID0150,38,2015-10-23T10:06:22Z,No,NA,Blue and black,none
ID0151,13,2015-10-23T10:06:25Z,Yes,NA,NA,NA
ID0152,46,2015-10-23T10:06:25Z,No,7,Blue and black,Verdana
ID0153,38,2015-10-23T10:06:34Z,No,23,Blue and black,San Francisco
ID0154,53,2015-10-23T10:06:43Z,No,7,Blue and black,comic sans
ID0155,33,2015-10-23T10:06:50Z,No,6,Blue and black,zapf dingbats
ID0156,12,2015-10-23T10:07:15Z,Yes,NA,NA,NA
ID0157,33,2015-10-23T10:08:08Z,No,4,White and gold,Baskerville
ID0158,40,2015-10-23T10:09:03Z,Yes,7,Blue and black,Hectiva - fun to say
ID0159,51,2015-10-23T10:09:27Z,No,3,NA,Palatino
ID0160,37,2015-10-23T10:09:30Z,No,3,White and gold,Tahoma
ID0161,32,2015-10-23T10:10:11Z,No,53,Blue and black,console
ID0163,43,2015-10-23T10:11:27Z,No,6,Blue and black,helvetica
ID0164,41,2015-10-23T10:11:45Z,No,3,Blue and black,Garamond
ID0165,27,2015-10-23T10:11:54Z,No,3,White and gold,Lucida Sans Unicode
ID0166,36,2015-10-23T10:12:07Z,No,7,Blue and black,calibri
ID0167,32,2015-10-23T10:12:30Z,No,4,White and gold,futura
ID0168,32,2015-10-23T10:12:35Z,No,53,Blue and black,console
ID0169,39,2015-10-23T10:14:04Z,No,7,White and gold,Arial
ID0170,32,2015-10-23T10:14:13Z,No,5,NA,NA
ID0171,49,2015-10-23T10:14:24Z,No,8,Blue and black,San Francisco
ID0172,27,2015-10-23T10:14:59Z,No,5,Blue and black,Helvetica
ID0173,45,2015-10-23T10:15:55Z,No,7,Blue and black,*typeface you Philistines
ID0174,34,2015-10-23T10:16:08Z,No,0,White and gold,Wingdings
ID0175,36,2015-10-23T10:16:37Z,No,3,White and gold,Futura
ID0177,12,2015-10-23T10:17:54Z,Yes,14,Blue and black,Dont have one
ID0178,12,2015-10-23T10:18:18Z,Yes,14,Blue and black,Dont have one
ID0179,50,2015-10-23T10:18:20Z,No,NA,NA,Garamond condensed
ID0180,13,2015-10-23T10:18:22Z,Yes,NA,NA,NA
ID0181,12,2015-10-23T10:18:24Z,Yes,NA,NA,NA
ID0182,59,2015-10-23T10:19:01Z,No,6,Blue and black,Foglihten
ID0183,36,2015-10-23T10:19:09Z,No,9,White and gold,NA
ID0184,46,2015-10-23T10:19:26Z,No,3,Blue and black,Wingdings
ID0185,46,2015-10-23T10:19:30Z,Yes,7,Blue and black,Calibri
ID0186,47,2015-10-23T10:21:03Z,No,0,Blue and black,"Sorry, I have fontnesia"
ID0187,55,2015-10-23T10:21:29Z,No,3,White and gold,Burbank Big Regular
ID0188,38,2015-10-23T10:21:43Z,No,4,Blue and black,Tahoma
ID0189,33,2015-10-23T10:22:11Z,No,3,White and gold,Times New Roman
ID0191,35,2015-10-23T10:23:31Z,Yes,17,NA,courier new
ID0192,60,2015-10-23T10:23:32Z,No,13,White and gold,Arial Narrow
ID0193,49,2015-10-23T10:24:25Z,No,NA,White and gold,Calibri
ID0194,32,2015-10-23T10:24:49Z,No,36,Blue and black,THE GREAT PAPYRUS
ID0195,21,2015-10-23T10:25:20Z,No,12,Blue and black,Ariel
ID0196,28,2015-10-23T10:25:37Z,No,4,White and gold,Avenir
ID0197,55,2015-10-23T10:25:40Z,No,17,White and gold,Univers
ID0198,42,2015-10-23T10:26:08Z,No,0,Blue and black,San Francisco
ID0199,44,2015-10-23T10:26:40Z,No,3,White and gold,Segoi UI
ID0200,16,2015-10-23T10:27:51Z,Yes,43,Blue and black,Helvetica
ID0201,27,2015-10-23T10:27:55Z,No,33,White and gold,Habibi
ID0202,40,2015-10-23T10:27:55Z,Yes,0,White and gold,"""Stop"" it's so futuristic looking, especially if you are in 1986"
ID0203,49,2015-10-23T10:28:21Z,No,6,White and gold,Alte Haas Grotesk
ID0205,39,2015-10-23T10:29:24Z,No,4,Blue and black,default
ID0206,53,2015-10-23T10:29:53Z,No,17,Blue and black,helvedica
ID0207,35,2015-10-23T10:30:35Z,No,4,Blue and black,Helvectia
ID0208,51,2015-10-23T10:31:06Z,No,7,White and gold,Bodoni
ID0209,50,2015-10-23T10:32:03Z,No,5,NA,Arial
ID0210,56,2015-10-23T10:32:28Z,No,3,White and gold,Book Palatino
ID0211,58,2015-10-23T10:33:53Z,No,8,Blue and black,This one
ID0212,49,2015-10-23T10:34:20Z,No,5,White and gold,gill sans MT
ID0213,49,2015-10-23T10:34:47Z,No,5,White and gold,gill sans MT
ID0214,49,2015-10-23T10:35:01Z,No,3,NA,NA
ID0216,35,2015-10-23T10:36:06Z,No,NA,Blue and black,Neutra text
ID0217,41,2015-10-23T10:36:35Z,No,2,White and gold,Times New Roman
ID0218,48,2015-10-23T10:37:03Z,No,4,Blue and black,System
ID0219,41,2015-10-23T10:37:15Z,No,11,Blue and black,Helvetica Neue
ID0220,22,2015-10-23T10:38:46Z,No,2,White and gold,papyrus
ID0221,42,2015-10-23T10:39:00Z,No,23,White and gold,wingdings
ID0222,30,2015-10-23T10:39:19Z,No,3,Blue and black,garimond
ID0223,33,2015-10-23T10:39:26Z,No,3,Blue and black,Sentinal
ID0224,26,2015-10-23T10:39:48Z,No,3,Blue and black,Helvetica
ID0225,34,2015-10-23T10:39:56Z,No,4,Blue and black,Anything not the default
ID0226,53,2015-10-23T10:40:08Z,No,9,White and gold,Georgia
ID0227,52,2015-10-23T10:40:19Z,No,NA,NA,NA
ID0228,57,2015-10-23T10:41:11Z,No,2,Blue and black,Times New Roman
ID0230,33,2015-10-23T10:41:39Z,No,6,White and gold,Helvetica Neue
ID0231,34,2015-10-23T10:41:59Z,Yes,7,Blue and black,Garamond
ID0232,32,2015-10-23T10:42:48Z,No,4,White and gold,Times New Roman
ID0233,39,2015-10-23T10:43:07Z,No,6,Blue and black,arial
ID0234,6,2015-10-23T10:44:30Z,Yes,NA,NA,NA
ID0235,58,2015-10-23T10:44:35Z,No,17,White and gold,Baskerly
ID0236,22,2015-10-23T10:44:46Z,No,NA,NA,NA
ID0237,6,2015-10-23T10:44:47Z,Yes,NA,NA,NA
ID0238,29,2015-10-23T10:45:03Z,No,7,Blue and black,NA
ID0239,46,2015-10-23T10:45:07Z,No,3,Blue and black,Helvetica
ID0240,64,2015-10-23T10:46:11Z,No,NA,NA,NA
ID0241,42,2015-10-23T10:46:12Z,No,6,Blue and black,Arial Black
ID0242,55,2015-10-23T10:47:30Z,No,NA,White and gold,NA
ID0243,48,2015-10-23T10:48:50Z,No,5,White and gold,Avenir
ID0244,39,2015-10-23T10:49:29Z,No,5,Blue and black,Arial
ID0245,30,2015-10-23T10:49:44Z,No,0,Blue and black,San Francisco
ID0246,46,2015-10-23T10:50:15Z,No,5,Blue and black,NA
ID0247,35,2015-10-23T10:50:22Z,No,12,NA,Garamond
ID0248,30,2015-10-23T10:50:52Z,No,54,Blue and black,Georgia
ID0249,45,2015-10-23T10:52:25Z,No,1,White and gold,Helvetica
ID0250,38,2015-10-23T10:52:30Z,No,4,Blue and black,courier
ID0251,42,2015-10-23T10:52:38Z,No,3,Blue and black,Impact
ID0252,64,2015-10-23T10:52:57Z,No,NA,Blue and black,Comic sans (haha)
ID0253,35,2015-10-23T10:53:07Z,No,3,White and gold,bookman old style
ID0254,30,2015-10-23T10:53:27Z,No,12,Blue and black,NA
ID0255,64,2015-10-23T10:54:02Z,No,NA,Blue and black,Comic sans (haha)
ID0257,26,2015-10-23T10:54:50Z,Yes,3,Blue and black,Papyrus ;P
ID0258,50,2015-10-23T10:55:03Z,No,1 give or take,White and gold,Tag Let
ID0259,43,2015-10-23T10:56:03Z,No,2,White and gold,wing ding
ID0260,29,2015-10-23T10:56:30Z,No,6,Blue and black,Trebuchet
ID0261,43,2015-10-23T10:56:43Z,Yes,18,Blue and black,Hobo
ID0262,45,2015-10-23T10:56:50Z,No,23,White and gold,helvetica
ID0263,37,2015-10-23T10:57:04Z,No,4,White and gold,arial
ID0264,34,2015-10-23T10:57:31Z,No,5,White and gold,"comic sans, motherfuckers."
ID0265,35,2015-10-23T10:59:55Z,No,4,Blue and black,helvetica
ID0267,53,2015-10-23T11:00:14Z,No,4,White and gold,times new roman
ID0268,37,2015-10-23T11:00:16Z,No,4,Blue and black,Centaur
ID0269,45,2015-10-23T11:01:48Z,No,5,White and gold,Ariel?
ID0270,32,2015-10-23T11:02:12Z,No,1337,Blue and black,Wingdings
